id,crossing_id,reported_at,wait_minutes,reported_by,source,raw_text,quality_flag,camera_avg_min
65,2,2026-05-03 15:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 15:28 | by mpb_kosovo | 5 min,ok,1.7
64,2,2026-05-03 15:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 15:49 | by mpb_kosovo | 5 min,ok,1.7
66,2,2026-05-03 16:08:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 16:08 | by mpb_kosovo | 5 min,ok,1.7
67,2,2026-05-03 16:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 16:38 | by mpb_kosovo | 5 min,ok,1.7
69,2,2026-05-03 17:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 17:28 | by mpb_kosovo | 5 min,ok,1.1
68,2,2026-05-03 17:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 17:49 | by mpb_kosovo | 5 min,ok,1.1
77,2,2026-05-03 19:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 19:28 | by mpb_kosovo | Estimated waiting time by Google,ok,1.8
76,2,2026-05-03 19:49:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 19:49 | by mpb_kosovo | 5 min,ok,1.8
75,2,2026-05-03 20:08:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 20:08 | by mpb_kosovo | 5 min,ok,0.9
74,2,2026-05-03 20:38:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 20:38 | by mpb_kosovo | 5 min,ok,0.9
73,2,2026-05-03 21:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 21:28 | by mpb_kosovo | 5 min,ok,0.9
72,2,2026-05-03 21:49:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 21:49 | by mpb_kosovo | 5 min,ok,0.9
71,2,2026-05-03 22:08:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 22:08 | by mpb_kosovo | 5 min,ok,0.9
70,2,2026-05-03 22:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 22:38 | by mpb_kosovo | 5 min,ok,0.9
78,2,2026-05-03 23:29:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 03.05.2026 23:29 | by mpb_kosovo | 5 min,ok,1.7
80,2,2026-05-03 23:49:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 03.05.2026 23:49 | by mpb_kosovo | 5 min,ok,1.7
79,2,2026-05-04 00:08:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 04.05.2026 00:08 | by mpb_kosovo | 5 min,ok,1.7
81,2,2026-05-04 00:38:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 04.05.2026 00:38 | by mpb_kosovo | 5 min,ok,1.7
83,2,2026-05-04 01:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 01:28 | by mpb_kosovo | 5 min,ok,1.5
82,2,2026-05-04 01:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 04.05.2026 01:49 | by mpb_kosovo | 5 min,ok,1.5
85,2,2026-05-04 02:08:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 02:08 | by mpb_kosovo | 5 min,ok,1.8
84,2,2026-05-04 02:28:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 04.05.2026 02:28 | by mpb_kosovo | 5 min,ok,1.8
87,2,2026-05-04 02:38:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 02:38 | by mpb_kosovo | 5 min,ok,1.8
86,2,2026-05-04 02:49:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 04.05.2026 02:49 | by mpb_kosovo | 5 min,ok,1.8
88,2,2026-05-04 03:57:00+02,15,anonymous_,borderalarm,Lastly reported | 15 min | 04.05.2026 03:57 | by anonymous_ | 5 min,ok,1
89,2,2026-05-04 04:08:00+02,5,mpb_kosovo,borderalarm,Lastly reported | 5 min | 04.05.2026 04:08 | by mpb_kosovo | 15 min,ok,1.4
97,2,2026-05-04 08:38:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 08:38 | by mpb_kosovo | Estimated waiting time by Google,ok,1.3
96,2,2026-05-04 09:28:00+02,5,mpb_kosovo,borderalarm,by mpb_kosovo | 5 min | 04.05.2026 09:28 | by mpb_kosovo | 5 min,no_camera_data,
