id,crossing_id,captured_at,interval_minutes,total_vehicles,cars,motorcycles,buses,trucks,lane_breakdown,fps
44,2,2026-05-03 02:27:47.829035,5,10,10,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 5, ""by_type"": {""car"": 5}}, ""Blace L3"": {""total"": 5, ""by_type"": {""car"": 5}}}",0.5
45,2,2026-05-03 02:32:47.882945,5,8,8,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 4, ""by_type"": {""car"": 4}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
46,2,2026-05-03 02:37:48.029784,5,9,9,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 4, ""by_type"": {""car"": 4}}, ""Blace L3"": {""total"": 5, ""by_type"": {""car"": 5}}}",3
47,2,2026-05-03 02:42:48.187738,5,7,7,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 4, ""by_type"": {""car"": 4}}, ""Blace L3"": {""total"": 3, ""by_type"": {""car"": 3}}}",3
48,2,2026-05-03 02:47:48.45763,5,8,8,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 4, ""by_type"": {""car"": 4}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
49,2,2026-05-03 02:52:48.564304,5,7,7,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 3, ""by_type"": {""car"": 3}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
50,2,2026-05-03 02:57:48.844472,5,8,8,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 3, ""by_type"": {""car"": 3}}, ""Blace L3"": {""total"": 5, ""by_type"": {""car"": 5}}}",3.5
51,2,2026-05-03 03:02:48.847609,5,7,7,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 4, ""by_type"": {""car"": 4}}, ""Blace L3"": {""total"": 3, ""by_type"": {""car"": 3}}}",3
52,2,2026-05-03 03:07:48.864166,5,6,6,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 2, ""by_type"": {""car"": 2}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
53,2,2026-05-03 03:12:49.194941,5,6,6,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 2, ""by_type"": {""car"": 2}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
54,2,2026-05-03 03:17:49.467238,5,9,9,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 4, ""by_type"": {""car"": 4}}, ""Blace L3"": {""total"": 5, ""by_type"": {""car"": 5}}}",3
55,2,2026-05-03 03:22:49.764061,5,4,4,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 2, ""by_type"": {""car"": 2}}, ""Blace L3"": {""total"": 2, ""by_type"": {""car"": 2}}}",3
56,2,2026-05-03 03:28:04.300043,5,9,9,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 5, ""by_type"": {""car"": 5}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3.5
57,2,2026-05-03 03:33:04.393682,5,7,7,0,0,0,"{""Blace L1"": {""total"": 0, ""by_type"": {}}, ""Blace L2"": {""total"": 3, ""by_type"": {""car"": 3}}, ""Blace L3"": {""total"": 4, ""by_type"": {""car"": 4}}}",3
