id,crossing_id,captured_at,interval_minutes,total_vehicles,cars,motorcycles,buses,trucks,lane_breakdown,fps
56,5,2026-05-04 22:26:05.651508+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
57,5,2026-05-04 22:42:06.743747+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
58,5,2026-05-04 22:47:06.807638+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",7
59,5,2026-05-04 22:55:33.594925+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
60,5,2026-05-04 23:11:19.668365+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
61,5,2026-05-04 23:27:04.542104+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
62,5,2026-05-04 23:42:51.69616+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
63,5,2026-05-04 23:56:33.667977+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
64,5,2026-05-05 00:14:33.677873+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",0.5
65,5,2026-05-05 00:30:20.599215+02,5,0,0,0,0,0,"{""Kafasan L1"": {""total"": 0, ""by_type"": {}}, ""Kafasan L2"": {""total"": 0, ""by_type"": {}}, ""Kafasan L3"": {""total"": 0, ""by_type"": {}}}",2.5
