id,crossing_id,track_id,vehicle_type,lane,entered_at,exited_at,duration_sec,was_reassigned,frame_count,avg_confidence,notes
3111,5,49,car,,2026-05-06 17:36:51.154621+02,2026-05-06 17:50:02.780877+02,791.63,f,2970,0.502,
3046,5,50,car,,2026-05-06 17:36:51.872308+02,2026-05-06 17:36:57.157879+02,5.29,f,38,0.41,
3047,5,295,car,Kafasan L2,2026-05-06 17:36:56.867551+02,2026-05-06 17:37:00.865086+02,4,f,29,0.823,
3048,5,50,car,,2026-05-06 17:36:58.01067+02,2026-05-06 17:37:01.299714+02,3.29,f,24,0.407,
3050,5,50,car,,2026-05-06 17:37:02.440584+02,2026-05-06 17:37:05.882527+02,3.44,f,25,0.365,
3049,5,303,car,Kafasan L2,2026-05-06 17:37:03.592231+02,2026-05-06 17:37:05.737761+02,2.15,f,16,0.698,lane_switch:Kafasan L2>Kafasan L1
3051,5,50,car,,2026-05-06 17:37:11.949681+02,2026-05-06 17:37:18.5438+02,6.59,f,32,0.406,
3052,5,345,truck,Kafasan L2,2026-05-06 17:37:17.976849+02,2026-05-06 17:37:20.260875+02,2.28,f,17,0.894,lane_switch:Kafasan L2>Kafasan L1>Kafasan L2
3054,5,50,car,,2026-05-06 17:37:21.256813+02,2026-05-06 17:37:24.969736+02,3.71,f,27,0.451,
3053,5,353,truck,Kafasan L2,2026-05-06 17:37:22.108646+02,2026-05-06 17:37:24.393262+02,2.28,f,17,0.83,lane_switch:Kafasan L2>Kafasan L1
3056,5,50,car,,2026-05-06 17:37:25.537327+02,2026-05-06 17:37:30.589369+02,5.05,f,36,0.406,
3055,5,357,truck,Kafasan L2,2026-05-06 17:37:26.522956+02,2026-05-06 17:37:30.299493+02,3.78,f,27,0.812,lane_switch:Kafasan L2>Kafasan L1
3057,5,50,car,,2026-05-06 17:37:31.731844+02,2026-05-06 17:37:59.553569+02,27.82,f,22,0.402,
3059,5,50,car,,2026-05-06 17:37:59.985275+02,2026-05-06 17:38:11.603812+02,11.62,f,83,0.413,
3058,5,386,car,Kafasan L3,2026-05-06 17:38:08.472567+02,2026-05-06 17:38:10.74881+02,2.28,f,17,0.835,lane_switch:Kafasan L3>Kafasan L2
3060,5,50,car,,2026-05-06 17:38:15.171042+02,2026-05-06 17:38:44.726984+02,29.56,f,40,0.417,
3063,5,50,car,,2026-05-06 17:38:47.157937+02,2026-05-06 17:39:19.262984+02,32.11,f,210,0.42,
3061,5,433,car,Kafasan L2,2026-05-06 17:38:50.00214+02,2026-05-06 17:38:55.550304+02,5.55,f,40,0.845,lane_switch:Kafasan L2>Kafasan L3
3062,5,450,car,Kafasan L3,2026-05-06 17:39:16.1029+02,2026-05-06 17:39:18.399428+02,2.3,f,17,0.835,lane_switch:Kafasan L3>Kafasan L2
3064,5,50,car,,2026-05-06 17:39:22.859311+02,2026-05-06 17:39:28.48003+02,5.62,f,40,0.417,
3074,5,50,car,,2026-05-06 17:39:30.93607+02,2026-05-06 17:42:44.005855+02,193.07,f,690,0.437,
3065,5,497,car,Kafasan L2,2026-05-06 17:39:33.826526+02,2026-05-06 17:39:39.443638+02,5.62,f,40,0.845,lane_switch:Kafasan L2>Kafasan L3
3067,5,3,car,,2026-05-06 17:40:33.651898+02,2026-05-06 17:40:39.550497+02,5.9,f,42,0.413,
3068,5,3,car,,2026-05-06 17:40:40.136667+02,2026-05-06 17:42:12.732671+02,92.6,f,181,0.436,
3069,5,3,car,,2026-05-06 17:42:16.347268+02,2026-05-06 17:42:22.234599+02,5.89,f,42,0.413,
3070,5,3,car,,2026-05-06 17:42:22.938018+02,2026-05-06 17:42:26.66075+02,3.72,f,27,0.427,
3072,5,3,car,,2026-05-06 17:42:27.434072+02,2026-05-06 17:42:33.470806+02,6.04,f,43,0.396,
3071,5,516,car,Kafasan L2,2026-05-06 17:42:29.875296+02,2026-05-06 17:42:33.179201+02,3.3,f,24,0.802,
3075,5,3,car,,2026-05-06 17:42:34.045115+02,2026-05-06 17:42:51.169074+02,17.12,f,118,0.428,
3073,5,530,car,Kafasan L2,2026-05-06 17:42:40.406696+02,2026-05-06 17:42:42.509832+02,2.1,f,15,0.819,
3076,5,50,car,,2026-05-06 17:42:44.731243+02,2026-05-06 17:42:53.80636+02,9.08,f,63,0.399,
3077,5,3,car,,2026-05-06 17:42:51.90248+02,2026-05-06 17:42:57.036635+02,5.13,f,36,0.385,
3078,5,50,car,,2026-05-06 17:42:55.284184+02,2026-05-06 17:42:59.517158+02,4.23,f,30,0.376,
3082,5,3,car,,2026-05-06 17:42:57.477992+02,2026-05-06 17:43:13.807655+02,16.33,f,113,0.448,
3081,5,50,car,,2026-05-06 17:43:01.698234+02,2026-05-06 17:43:11.130599+02,9.43,f,66,0.434,
3079,5,586,car,,2026-05-06 17:43:03.308135+02,2026-05-06 17:43:10.692431+02,7.38,f,52,0.578,
3080,5,583,car,,2026-05-06 17:43:03.308135+02,2026-05-06 17:43:10.692431+02,7.38,f,52,0.748,
3093,5,50,car,,2026-05-06 17:43:11.566958+02,2026-05-06 17:45:10.761836+02,119.19,f,319,0.432,
3085,5,3,car,,2026-05-06 17:43:14.393826+02,2026-05-06 17:43:40.147339+02,25.75,f,142,0.425,
3084,5,599,truck,Kafasan L1,2026-05-06 17:43:25.430697+02,2026-05-06 17:43:37.089182+02,11.66,f,81,0.882,
3083,5,603,car,Kafasan L3,2026-05-06 17:43:28.337544+02,2026-05-06 17:43:37.089182+02,8.75,f,61,0.775,
3086,5,604,truck,Kafasan L2,2026-05-06 17:43:38.104637+02,2026-05-06 17:43:40.734612+02,2.63,f,19,0.873,
3087,5,599,bus,Kafasan L2,2026-05-06 17:43:40.734612+02,2026-05-06 17:44:43.456844+02,62.72,f,18,0.911,lane_switch:Kafasan L2>Kafasan L1>Kafasan L2
3090,5,3,car,,2026-05-06 17:44:42.996089+02,2026-05-06 17:45:05.670923+02,22.67,f,108,0.421,
3089,5,613,truck,Kafasan L1,2026-05-06 17:44:50.121163+02,2026-05-06 17:45:02.351654+02,12.23,f,81,0.882,
3088,5,617,car,Kafasan L3,2026-05-06 17:44:53.245911+02,2026-05-06 17:45:02.351654+02,9.11,f,61,0.775,
3091,5,618,truck,Kafasan L2,2026-05-06 17:45:03.450242+02,2026-05-06 17:45:06.35951+02,2.91,f,19,0.873,
3092,5,613,bus,Kafasan L2,2026-05-06 17:45:06.35951+02,2026-05-06 17:45:10.616176+02,4.26,f,29,0.904,lane_switch:Kafasan L2>Kafasan L1>Kafasan L2>Kafasan L1
3096,5,3,car,,2026-05-06 17:45:08.489301+02,2026-05-06 17:45:28.837691+02,20.35,f,136,0.45,
3095,5,50,car,,2026-05-06 17:45:12.286515+02,2026-05-06 17:45:24.103599+02,11.82,f,79,0.382,
3094,5,626,truck,,2026-05-06 17:45:17.700373+02,2026-05-06 17:45:21.701985+02,4,f,28,0.332,
3097,5,50,car,,2026-05-06 17:45:26.176217+02,2026-05-06 17:45:49.180434+02,23,f,156,0.401,
3098,5,3,car,,2026-05-06 17:45:29.133945+02,2026-05-06 17:45:49.180434+02,20.05,f,136,0.444,
3100,5,50,car,,2026-05-06 17:45:49.638436+02,2026-05-06 17:45:52.64919+02,3.01,f,21,0.384,
3099,5,3,car,,2026-05-06 17:45:49.938309+02,2026-05-06 17:45:52.038354+02,2.1,f,15,0.411,
3101,5,3,car,,2026-05-06 17:45:52.800627+02,2026-05-06 17:45:55.646439+02,2.85,f,20,0.397,
3103,5,50,car,,2026-05-06 17:45:53.555191+02,2026-05-06 17:46:39.70925+02,46.15,f,157,0.404,
3102,5,3,car,,2026-05-06 17:45:56.395275+02,2026-05-06 17:46:38.530442+02,42.14,f,130,0.41,
3112,5,3,car,,2026-05-06 17:46:38.829701+02,2026-05-06 17:50:02.780877+02,203.95,f,593,0.427,
3105,5,50,car,,2026-05-06 17:46:40.005593+02,2026-05-06 17:47:23.043855+02,43.04,f,134,0.409,
3104,5,654,car,Kafasan L2,2026-05-06 17:46:44.770753+02,2026-05-06 17:47:15.690461+02,30.92,f,52,0.825,
3106,5,659,car,Kafasan L3,2026-05-06 17:47:21.408306+02,2026-05-06 17:47:23.490448+02,2.08,f,15,0.805,lane_switch:Kafasan L3>Kafasan L2>Kafasan L3
3107,5,663,car,,2026-05-06 17:47:59.772616+02,2026-05-06 17:48:02.879641+02,3.11,f,22,0.415,
3108,5,663,car,,2026-05-06 17:48:03.183061+02,2026-05-06 17:48:08.053242+02,4.87,f,34,0.432,
3109,5,663,car,,2026-05-06 17:48:08.932483+02,2026-05-06 17:50:00.699334+02,111.77,f,284,0.406,
3114,5,671,bus,Kafasan L2,2026-05-06 17:49:59.062564+02,2026-05-06 17:50:05.487511+02,6.42,f,44,0.902,lane_switch:Kafasan L2>Kafasan L3
3165,5,678,truck,Kafasan L1,2026-05-06 17:50:03.836345+02,2026-05-06 17:58:18.925913+02,495.09,f,1889,0.95,lane_switch:Kafasan L1>Kafasan L2>Kafasan L1
3115,5,680,car,Kafasan L3,2026-05-06 17:50:04.136463+02,2026-05-06 17:50:07.440798+02,3.3,f,23,0.848,lane_switch:Kafasan L3>Kafasan L2
3116,5,682,car,Kafasan L3,2026-05-06 17:50:04.436544+02,2026-05-06 17:50:08.485152+02,4.05,f,28,0.799,
3118,5,49,car,,2026-05-06 17:50:05.487511+02,2026-05-06 17:50:10.261644+02,4.77,f,33,0.407,
3122,5,3,car,,2026-05-06 17:50:05.487511+02,2026-05-06 17:50:43.91851+02,38.43,f,103,0.395,
3141,5,685,car,,2026-05-06 17:50:05.639107+02,2026-05-06 17:56:13.572178+02,367.93,f,1073,0.731,
3362,5,686,car,,2026-05-06 17:50:05.790504+02,2026-05-06 18:20:54.54671+02,1848.76,f,7500,0.898,
3117,5,687,car,Kafasan L3,2026-05-06 17:50:05.94411+02,2026-05-06 17:50:09.518659+02,3.57,f,25,0.786,
